20421,51,4,            Copia de Organizacion,72876,67608,
20421,52,5,                Mantener Interface,,72876,9450
20421,53,5,                Iniciar Copia de Organizacion,,72876,10985
20421,54,4,            Organizaciones,,67608,309
20421,55,4,            Direcciones,,67608,318
20421,56,4,            Empleados,,67608,938
20421,57,4,            Tiempo de Transito Interdireccion,,67608,3486
20421,58,4,            Parametros de Faltante,,67608,4372
20421,59,4,            Acceso a Organizacion,,67608,1565
20421,60,4,            Parametros de Recepcion,,67608,2010
20421,61,4,            Jerarquia,,67608,308
20421,62,4,            Parametros de Envio,,67608,5831
20421,63,4,            Parametros de Compra,,67608,2009
20421,64,4,            Flujos de Transaccion Entre Compa?ias,,67608,19998
20421,65,4,            Metodos de Envio,,67608,1979
20421,66,4,            Localizadores de Stock,,67608,1252
20421,67,3,        Perfiles,67760,67579,
20421,68,4,            Personal,,67760,44
20421,69,3,        Costos,67817,67579,
20421,70,4,            Tipos de Costo,67791,67817,1328
20421,71,5,                Mantener,,67791,1329
20421,72,4,            Actividades,67809,67817,1331
20421,73,5,                Mantener,,67809,1147
20421,74,4,            Subelementos,68035,67817,
20421,75,5,                Gastos Generales,67789,68035,944
20421,76,6,                    Mantener,,67789,1317
20421,77,5,                Materiales,67798,68035,942
20421,78,6,                    Mantener,,67798,1333
20421,79,5,                Valores Por Defecto,,68035,945
20421,80,4,            Grupos de Costos,68377,67817,2412
20421,81,5,                Mantener,,68377,2418
20421,82,3,        Financiera,67823,67579,
20421,83,4,            Divisas,67822,67823,
20421,84,5,                Tipos de Cambio Diarios,,67822,596
20421,85,5,                Tipos de Cambio de Periodo,,67822,25816
20421,86,5,                Codigos de Divisa,,67822,106
20421,87,4,            Calendario Contable,68380,67823,
20421,88,5,                Tipos,,68380,609
20421,89,5,                Contabilidad,,68380,603
20421,90,4,            Administrador de Configuracion Contable,78880,67823,
20421,91,5,                Configuraciones Contables,,78880,25638
20421,92,4,            Cuentas,,67823,568
20421,93,3,        Flexfields,67920,67579,
20421,94,4,            Descriptivo,67921,67920,
20421,95,5,                Seguridad,67918,67921,
20421,96,6,                    Definir,,67918,172
20421,97,6,                    Asignar,,67918,174
20421,98,5,                Segmentos,,67921,64
